title,unitType,size, Chaoxiang,floor,nianfen,Community,address,unitPrice,price,detail_url
挥泪急售！朗悦玺园89平三室两厅 赠送一间房 好采光,3室2厅1卫,89㎡,南北,低层(共34层),2019年建造,朗悦公园道1号玺园,高新区-科学大道-枫杨街,138万,15506元/㎡,https://zhengzhou.anjuke.com/prop/view/S3064919786513414?auction=221&hpType=27&entry=102&position=0&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_0&from=from_esf_List_screen&index=0
金水北次新小区。出门就是地铁口，经典小三房，人车分流小区急售,3室2厅1卫,86.85㎡,南,高层(共33层),2021年建造,美景美境(一期),金水-国基路-国基路,158万,18193元/㎡,https://zhengzhou.anjuke.com/prop/view/S2943549971194881?auction=221&hpType=27&entry=102&position=1&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_1&from=from_esf_List_screen&index=1
风和日丽电梯房标准三房，看房有钥匙，育才 郑州一中分校！,3室1厅1卫,89.81㎡,南,高层(共34层),2014年建造,风和日丽家园,中原-五龙口-煤仓北路16号,106万,11803元/㎡,https://zhengzhou.anjuke.com/prop/view/S3056603765269518?auction=221&hpType=27&entry=102&position=2&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_2&from=from_esf_List_screen&index=2
南北通透 双卫生间 大户型 刚需直选 美盛·教育港湾 考虑可私聊,2室2厅1卫,75㎡,东,NAN,NAN,美盛·教育港湾,金水-绿荫广场-北三环与普庆路交汇处西北角,139万,18534元/㎡,https://zhengzhou.anjuke.com/prop/view/S3042170019388424?auction=221&hpType=27&entry=102&position=3&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_3&from=from_esf_List_screen&index=3
人车分流次新社区，拎包入住，性价比高，交通方便,3室2厅1卫,87.8㎡,东南,高层(共34层),2017年建造,保利永威西溪花园,高新区-科学大道-白杨路12号,107万,12187元/㎡,https://zhengzhou.anjuke.com/prop/view/S3035460345588739?auction=221&hpType=27&entry=102&position=4&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_4&from=from_esf_List_screen&index=4
双地铁 财信 通透三房 诚心急售 低于市场价28万 随时看房,3室2厅1卫,90㎡,南北,低层(共34层),2015年建造,财信圣堤亚纳,郑东新区-黄河东路-商都路21号,168万,18667元/㎡,https://zhengzhou.anjuke.com/prop/view/S3049384761057283?auction=221&hpType=27&entry=102&position=5&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_5&from=from_esf_List_screen&index=5
急售好楼层 全款房 随时过户 看房有钥匙 紧邻一附小,3室2厅1卫,89㎡,南,中层(共33层),2012年建造,美景菩提,高新区-科学大道-科学大道59号,132万,14832元/㎡,https://zhengzhou.anjuke.com/prop/view/S3055039880519694?auction=221&hpType=27&entry=102&position=6&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_6&from=from_esf_List_screen&index=6
厨卫全明 双卫生间 大户型 刚需直选 美盛·教育港湾 考虑可私聊,3室2厅1卫,89㎡,南,NAN,NAN,美盛·教育港湾,金水-绿荫广场-北三环与普庆路交汇处西北角,165万,18540元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610760467180549?auction=221&hpType=27&entry=102&position=7&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_7&from=from_esf_List_screen&index=7
业主急售 永威物业 随时看房 性价比 的一套房子,3室2厅1卫,91㎡,南北,低层(共33层),2020年建造,永威城澜溪庭,管城-管南片-宇通路,113万,12418元/㎡,https://zhengzhou.anjuke.com/prop/view/S3060617769018379?auction=221&hpType=27&entry=102&position=8&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_8&from=from_esf_List_screen&index=8
美景鸿城 两梯三户 双地铁 满五年税费少 业主置换急售,3室2厅1卫,92.05㎡,东,中层(共34层),2011年建造,美景鸿城(一期鸿韵),管城-管南片-腾飞路1号,112万,12168元/㎡,https://zhengzhou.anjuke.com/prop/view/S3005555219930119?auction=221&hpType=27&entry=102&position=9&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_9&from=from_esf_List_screen&index=9
电梯房 房龄新 板楼 配套齐全 正南朝向 小三居 动静分离,3室2厅1卫,89㎡,南,中层(共33层),2017年建造,恒大绿洲(四期),经开区-第八大街-经开第七大街，近经南五路,149.5万,16798元/㎡,https://zhengzhou.anjuke.com/prop/view/S3048593482718212?auction=221&hpType=27&entry=102&position=10&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_10&from=from_esf_List_screen&index=10
五龙口 升龙天汇广场1号院 中间好楼层 小三房 次新小区,3室2厅1卫,88㎡,南,中层(共34层),2016年建造,升龙天汇广场1号院,中原-五龙口-桐柏北路，近五龙口路,100万,11364元/㎡,https://zhengzhou.anjuke.com/prop/view/S3013916513037323?auction=221&hpType=27&entry=102&position=11&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_11&from=from_esf_List_screen&index=11
南北通透 玄关入户 小户型 低总价 泉舜上城 欢迎联系看房,2室1厅1卫,52.76㎡,南,NAN,NAN,泉舜上城(新房),金水-南阳路-黄河路与南阳路交汇处向东100米路北,82万,15543元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610996194024456?auction=221&hpType=27&entry=102&position=12&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_12&from=from_esf_List_screen&index=12
升龙天玺二号院 临地铁 满五 商业配套齐全 正规商品房,3室2厅1卫,90.68㎡,南北,中层(共34层),2017年建造,升龙天玺二号院,二七-万达广场-大学路,116万,12793元/㎡,https://zhengzhou.anjuke.com/prop/view/S2645090990386187?auction=221&hpType=27&entry=102&position=13&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_13&from=from_esf_List_screen&index=13
金地正华漾时代 2022年新房 刚交房 有本 急售,3室2厅1卫,96.45㎡,南北,高层(共20层),2022年建造,金地正华漾时代,二七-二七周边-南四环，近嵩山南路,100万,10369元/㎡,https://zhengzhou.anjuke.com/prop/view/S3065534413021191?auction=221&hpType=27&entry=102&position=14&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_14&from=from_esf_List_screen&index=14
房源采光好，南北通透，业主诚意出,3室2厅1卫,87.85㎡,南,低层(共26层),2018年建造,招商天地华府,二七-嵩山路-嵩山南路,102万,11611元/㎡,https://zhengzhou.anjuke.com/prop/view/S2615494557346825?auction=221&hpType=27&entry=102&position=15&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_15&from=from_esf_List_screen&index=15
南北通透 双卫生间 大户型 刚需直选 美盛·教育港湾 来电咨询,3室2厅1卫,98㎡,南,NAN,NAN,美盛·教育港湾,金水-绿荫广场-北三环与普庆路交汇处西北角,181万,18470元/㎡,https://zhengzhou.anjuke.com/prop/view/S2611065085272071?auction=221&hpType=27&entry=102&position=16&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_16&from=from_esf_List_screen&index=16
美盛教育港湾 配套齐全 近地铁 纬五路一小郑州外国语,3室2厅1卫,88.46㎡,南,高层(共34层),2022年建造,美盛教育港湾(一期),金水-丰庆路-国基路83附16号,156万,17636元/㎡,https://zhengzhou.anjuke.com/prop/view/S3048000712007687?auction=221&hpType=27&entry=102&position=17&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_17&from=from_esf_List_screen&index=17
管南片 精装修 商业配套齐全 刚需小三居 近地铁 大产权,3室2厅1卫,92.05㎡,东,中层(共34层),2011年建造,美景鸿城(一期鸿韵),管城-管南片-腾飞路1号,112万,12168元/㎡,https://zhengzhou.anjuke.com/prop/view/S3015944707335168?auction=221&hpType=27&entry=102&position=18&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_18&from=from_esf_List_screen&index=18
业主急售 金二环 次新小区 人车分流 环境优美,3室2厅1卫,93.08㎡,南北,低层(共32层),2019年建造,阳光城9号院,管城-安徐庄-南台路49号,126万,13537元/㎡,https://zhengzhou.anjuke.com/prop/view/S2611182666162178?auction=221&hpType=27&entry=102&position=19&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_19&from=from_esf_List_screen&index=19
厨卫全明 客餐厅相连 小户型 大平层 谦祥·时光序 随时约看,3室2厅1卫,88㎡,南,NAN,NAN,谦祥·时光序,惠济-刘寨-兴隆铺路与粮仓路交叉口东南角,128万,14546元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610819124599813?auction=221&hpType=27&entry=102&position=20&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_20&from=from_esf_List_screen&index=20
性价比高 天地湾晴苑 小三房 近地铁 带露台,3室2厅1卫,89.43㎡,南,低层(共14层),2016年建造,天地湾晴苑,惠济-英才街-英才街4号,106万,11853元/㎡,https://zhengzhou.anjuke.com/prop/view/S2947485824738308?auction=221&hpType=27&entry=102&position=21&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_21&from=from_esf_List_screen&index=21
二七区古玩城康桥金域上郡1号院2室2厅,2室2厅1卫,84㎡,南,中层(共34层),2012年建造,康桥金域上郡1号院,二七-大学路-汝河路29号,126万,15000元/㎡,https://zhengzhou.anjuke.com/prop/view/S2611133657127951?auction=221&hpType=27&entry=102&position=22&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_22&from=from_esf_List_screen&index=22
诚售包增值税！中间楼层 康桥悦蓉园 89平精装三房 看房方便,3室2厅1卫,89㎡,南,中层(共26层),2019年建造,康桥悦蓉园,经开区-滨河新区-华夏大道，近经南十二路,118万,13259元/㎡,https://zhengzhou.anjuke.com/prop/view/S2912413013683205?auction=221&hpType=27&entry=102&position=23&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_23&from=from_esf_List_screen&index=23
业主急售急售 邻近地铁口 采光好 价格可谈,3室2厅1卫,97㎡,南,高层(共26层),2012年建造,华林都市家园,金水-南阳路-南阳路242号,118万,12165元/㎡,https://zhengzhou.anjuke.com/prop/view/S3005739594998798?auction=221&hpType=27&entry=102&position=24&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_24&from=from_esf_List_screen&index=24
南北通透 客餐厅相连 小户型 大平层 谦祥·时光序 随时约看,3室2厅1卫,88㎡,南,NAN,NAN,谦祥·时光序,惠济-刘寨-兴隆铺路与粮仓路交叉口东南角,128万,14546元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610787625954313?auction=221&hpType=27&entry=102&position=25&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_25&from=from_esf_List_screen&index=25
阳光馥园 中间楼层采光好 满五 板楼 南北通透,2室2厅1卫,95㎡,南北,高层(共7层),2006年建造,阳光馥园,高新区-科学大道-桂花西街3号,109万,11474元/㎡,https://zhengzhou.anjuke.com/prop/view/S2624767656747016?auction=221&hpType=27&entry=102&position=26&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_26&from=from_esf_List_screen&index=26
降价急售！普罗南北通透三房 双气地暖 送家电 拎包入住,3室2厅1卫,92㎡,南,高层(共6层),2008年建造,普罗旺世佛罗伦斯(东区),金水-国基路-国基路166号,120万,13044元/㎡,https://zhengzhou.anjuke.com/prop/view/S3059753170869259?auction=221&hpType=27&entry=102&position=27&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_27&from=from_esf_List_screen&index=27
建业开发 双卫三房 房源采光好，次新小区，科创小中,3室2厅2卫,99㎡,南,低层(共33层),2021年建造,建业香雅园,中原-五龙口-漳河路,140万,14142元/㎡,https://zhengzhou.anjuke.com/prop/view/S3029884867746831?auction=221&hpType=27&entry=102&position=28&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_28&from=from_esf_List_screen&index=28
热门好盘 大户型 装修交付 美盛·中环壹号 装修交付 欢迎联系看房,2室2厅1卫,77㎡,北,NAN,NAN,美盛·中环壹号,金水-国基路-国基路与文化路交汇处向西100米（郑州海洋馆对面）,162万,21039元/㎡,https://zhengzhou.anjuke.com/prop/view/S2930667621030926?auction=221&hpType=27&entry=102&position=29&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_29&from=from_esf_List_screen&index=29
有钥匙看房子方便，客厅朝南带阳台双气小三房美景鸿城二期,3室2厅1卫,88.41㎡,南北,高层(共33层),2013年建造,美景鸿城(二期鸿图),管城-管南片-腾飞路2号,125万,14139元/㎡,https://zhengzhou.anjuke.com/prop/view/S3059333159476229?auction=221&hpType=27&entry=102&position=30&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_30&from=from_esf_List_screen&index=30
朗悦公园道1号玺园 近地铁 精装好房 中间好楼层 双卫生间,4室2厅2卫,114㎡,南北,中层(共34层),2018年建造,朗悦公园道1号玺园,高新区-科学大道-枫杨街,196万,17193元/㎡,https://zhengzhou.anjuke.com/prop/view/S2980065950755842?auction=221&hpType=27&entry=102&position=31&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_31&from=from_esf_List_screen&index=31
房源采光好，南北通透，业主诚意出,3室2厅1卫,89㎡,南,高层(共34层),2018年建造,朗悦公园道1号玺园,高新区-科学大道-枫杨街,145万,16293元/㎡,https://zhengzhou.anjuke.com/prop/view/S3054128854245382?auction=221&hpType=27&entry=102&position=32&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_32&from=from_esf_List_screen&index=32
荣邦城 楼层好 朝向好 楼龄新 精装好房 停车方便,3室2厅2卫,122㎡,西南,中层(共27层),2017年建造,荣邦城,高新区-科学大道-牡丹路38号,130万,10656元/㎡,https://zhengzhou.anjuke.com/prop/view/S2960093987449864?auction=221&hpType=27&entry=102&position=33&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_33&from=from_esf_List_screen&index=33
厨卫全明 客餐厅相连 大户型 大平层 谦祥·时光序 随时约看,3室2厅1卫,89.27㎡,南,NAN,NAN,谦祥·时光序,惠济-刘寨-兴隆铺路与粮仓路交叉口东南角,129万,14451元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610756136049670?auction=221&hpType=27&entry=102&position=34&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_34&from=from_esf_List_screen&index=34
房源采光好，洋房社区 ，环境优美 随时 看房 急售,2室2厅1卫,83㎡,南,中层(共27层),2013年建造,正商新蓝钻E区,管城-航海东路-果园路35号,113万,13615元/㎡,https://zhengzhou.anjuke.com/prop/view/S2921836964981760?auction=221&hpType=27&entry=102&position=35&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_35&from=from_esf_List_screen&index=35
房源采光好，南北通透，业主诚意出,3室2厅1卫,89㎡,南,高层(共34层),2021年建造,锦艺金水湾观臻苑,金水-索凌路-文化北路,130万,14607元/㎡,https://zhengzhou.anjuke.com/prop/view/S3053952282288137?auction=221&hpType=27&entry=102&position=36&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_36&from=from_esf_List_screen&index=36
宏都花园 临东风渠 挨着世纪联华八号线正在修建,3室2厅1卫,124㎡,南北,低层(共7层),2000年建造,宏都花园(金水),金水-经三路-经三路北79号,125万,10081元/㎡,https://zhengzhou.anjuke.com/prop/view/S3049299420767233?auction=221&hpType=27&entry=102&position=37&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_37&from=from_esf_List_screen&index=37
南北通透 动静分离 大户型 装修交付 佳田未来新城 无中介费随时看,3室2厅1卫,89㎡,南,NAN,NAN,佳田未来新城(新房),管城-世纪欢乐园-未来路与石化路交叉口向西300米路南,129万,14495元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610952486411265?auction=221&hpType=27&entry=102&position=38&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_38&from=from_esf_List_screen&index=38
新出好房源 110万精装修包税 随时可看,3室2厅1卫,89㎡,南,中层(共34层),2022年建造,大正水晶森林1期,中原-中原周边-须水河东路31号,108万,12135元/㎡,https://zhengzhou.anjuke.com/prop/view/S3045567761817602?auction=221&hpType=27&entry=102&position=39&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_39&from=from_esf_List_screen&index=39
高楼层视野无遮挡 板楼 电梯房 房龄新 小三居 装修好,3室2厅1卫,89㎡,南,高层(共13层),2016年建造,保利海上五月花百合园,惠济-北大学城-桂香路14号,140万,15731元/㎡,https://zhengzhou.anjuke.com/prop/view/S2611052172926985?auction=221&hpType=27&entry=102&position=40&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_40&from=from_esf_List_screen&index=40
万达旁，金科城精致三房！房东诚心出售！,3室2厅1卫,87.84㎡,南,低层(共34层),2018年建造,金科城(一期北院),高新区-科学大道-月桂路21号,158万,17988元/㎡,https://zhengzhou.anjuke.com/prop/view/S2981847675149323?auction=221&hpType=27&entry=102&position=41&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_41&from=from_esf_List_screen&index=41
南北通透 客餐厅相连 大户型 大平层 谦祥·时光序 随时约看,3室2厅1卫,89.49㎡,南,NAN,NAN,谦祥·时光序,惠济-刘寨-兴隆铺路与粮仓路交叉口东南角,130万,14527元/㎡,https://zhengzhou.anjuke.com/prop/view/S2610996514298892?auction=221&hpType=27&entry=102&position=42&kwtype=filter&now_time=1686749125&spread=filtersearch_c&epauction=&stats_key=9d937ae0-de1f-499f-86bb-fd3c650895f3_42&from=from_esf_List_screen&index=42
